Word,Definition
philanthropist,one who loves mankind
introspection,examining one's own thoughts and feelings
introspection,examining one's own thoughts and feelings
antidote,medicine used against a poison or a disease
strive,to make great efforts, to struggle
ambidextrous,able to use the left hand or the right equally well
precursors,a person or thing that precedes, as in a process or job
retrospective,looking back on past
introvert,one who turns towards himself
ambiguous,doubtful; uncertain
gerontocracy,government ruled by old people
aggravate,make worse; irritate
braggart,boastful
entice,attract; lure
equilibrium,state of being balanced
alleviate,make (pain) easier to bear
adorn,add beauty; decorate
malevolent,malicious; evil; having or showing ill will
connote,suggest or imply in addition to the precise, literal meaning
abhor,to hate; to detest
agile,active; quick-moving
endeavor,to make an effort, to try very hard
stray,wander lose one's way
renovate,restore something to better condition
curriculum,course of study
amalgamate,mix; combine; unite societies
benevolent,kind; charitable
ephemeral,lasting for a very short time
gregarious,sociable; enjoying the company of others
lucid,clear; easy to understand
meticulous,showing great attention to detail; very careful
candid,truthful and straightforward
resilient,able to recover quickly from difficult conditions
vindicate,to clear someone of blame or suspicion
esoteric,intended for or likely to be understood by only a small number of people
pragmatic,dealing with things sensibly and realistically
diligent,showing care in one's work or duties
eloquent,fluent or persuasive in speaking or writing
peripheral,relating to or situated on the edge of something
obstinate,stubbornly refusing to change one's opinion
ostentatious,designed to impress or attract notice
prudent,acting with or showing care and thought for the future
subtle,so delicate or precise as to be difficult to analyze or describe
tenacious,tending to keep a firm hold of something; persistent
zealous,showing great energy or enthusiasm in pursuit of a cause
fortuitous,happening by chance or accident; fortunate
prolific,producing a great number of something, especially in terms of creativity